,image_url,product_name,source
,https://static.zara.net/photos///2020/I/0/1/p/3597/108/082/2/w/560/3597108082_1_1_1.jpg?ts=1596039396897,KNIT CROP TOP Details,zara
,https://static.zara.net/photos///2020/I/0/1/p/1481/204/881/2/w/560/1481204881_1_1_1.jpg?ts=1594648909545,PACK OF BEADED NECKLACES Details,zara
,https://static.zara.net/photos///2020/I/0/1/p/1509/104/716/3/w/560/1509104716_1_1_1.jpg?ts=1596032124201,ASYMMETRIC KNIT TOP Details,zara
,https://static.zara.net/photos///2020/I/0/1/p/8146/009/084/2/w/560/8146009084_1_1_1.jpg?ts=1596039407708,COMBINATION KNIT TOP Details,zara
,https://static.zara.net/photos///2020/I/0/1/p/4736/207/881/2/w/560/4736207881_2_10_1.jpg?ts=1595923087815,MIXED LINK NECKLACE Details,zara
,https://static.zara.net/photos///2020/I/0/1/p/1481/202/303/2/w/560/1481202303_1_1_1.jpg?ts=1594648850813,LINKS NECKLACE Details,zara
,https://static.zara.net/photos///2020/I/0/1/p/1509/105/834/2/w/560/1509105834_1_1_1.jpg?ts=1596039406783,SLEEVELESS KNIT TOP Details,zara
,https://static.zara.net/photos///2020/I/0/1/p/4548/202/303/2/w/560/4548202303_1_1_1.jpg?ts=1594648729264,COMBINATION HOOP EARRINGS Details,zara
,https://static.zara.net/photos///2020/I/0/1/p/3471/010/420/2/w/560/3471010420_1_1_1.jpg?ts=1595332607467,KNIT JACKET WITH BUTTONS Details,zara
,https://static.zara.net/photos///2020/I/0/1/p/1509/108/922/2/w/560/1509108922_1_1_1.jpg?ts=1596039402075,CROPPED KNIT TOP Details,zara
,https://static.zara.net/photos///2020/I/0/1/p/1509/107/811/2/w/560/1509107811_1_1_1.jpg?ts=1596039411370,SLEEVELESS KNIT DRESS Details,zara
,https://static.zara.net/photos///2020/I/0/1/p/4736/211/303/2/w/560/4736211303_1_1_1.jpg?ts=1594648773900,DOUBLE LINK NECKLACE Details,zara
,https://static.zara.net/photos///2020/I/0/1/p/0014/004/800/3/w/560/0014004800_1_1_1.jpg?ts=1596039405340,KNITWEAR WRAP SKIRT Details,zara
,https://static.zara.net/photos///2020/I/0/1/p/3920/202/701/2/w/560/3920202701_1_1_1.jpg?ts=1595414512332,LIMITED EDITION LEATHER WRISTLET COIN PURSE Details,zara
