,URL,source
111,https://www.zara.com/us/en/polka-dot-print-scarf-p08585206.html,zara
112,https://www.zara.com/us/en/pack-of-ear-cuff-earrings-p04319204.html,zara
113,https://www.zara.com/us/en/foulard-print-scarf-p08585202.html,zara
114,https://www.zara.com/us/en/shoulder-pad-shirt-p00858007.html,zara
115,https://www.zara.com/us/en/acetate-hexagonal-sunglasses-p04646005.html,zara
116,https://www.zara.com/us/en/draped-detail-dress-with-shoulder-pads-trf-p07795020.html,zara
117,https://www.zara.com/us/en/flowy-dress-with-shoulder-pads-trf-p08342304.html,zara
118,https://www.zara.com/us/en/dress-with-shoulder-pads-trf-p08342314.html,zara
119,https://www.zara.com/us/en/dress-with-shoulder-pads-trf-p08342314.html,zara
120,https://www.zara.com/us/en/front-text-t-shirt-p01501630.html,zara
121,https://www.zara.com/us/en/front-text-t-shirt-p01501630.html,zara
122,https://www.zara.com/us/en/cropped-top-with-shoulder-pads-trf-p03067407.html,zara
123,https://www.zara.com/us/en/flowy-dress-trf-p06929225.html,zara
124,https://www.zara.com/us/en/limited-edition-leather-oval-handbag-trf-p04234201.html,zara
125,https://www.zara.com/us/en/puffy-crop-top-trf-p03067403.html,zara
126,https://www.zara.com/us/en/limited-edition-leather-mini-bag-trf-p02749201.html,zara
127,https://www.zara.com/us/en/printed-shoulder-pad-dress-trf-p07975402.html,zara
128,https://www.zara.com/us/en/srpls-woman-looks-l1877.html,zara
129,https://www.zara.com/us/en/limited-edition-leather-mini-bag-trf-p02749201.html,zara
130,https://www.zara.com/us/en/flowy-buttoned-sahariana-p08224431.html,zara
131,https://www.zara.com/us/en/z1975-mid-rise-skinny-jeans-p08228222.html,zara
132,https://www.zara.com/us/en/satin-effect-printed-top-p07729608.html,zara
133,https://www.zara.com/us/en/satin-effect-mini-dress-p07858604.html,zara
134,https://www.zara.com/us/en/ruffled-poplin-top-p07773255.html,zara
135,https://www.zara.com/us/en/mini-halter-dress-p08050496.html,zara
136,https://www.zara.com/us/en/ankle-pants-p08073553.html,zara
137,https://www.zara.com/us/en/basic-blazer-p08073653.html,zara
138,https://www.zara.com/us/en/basic-blazer-p08073653.html,zara
139,https://www.zara.com/us/en/ankle-pants-p08073553.html,zara
140,https://www.zara.com/us/en/links-necklace-p01481202.html,zara
141,https://www.zara.com/us/en/flowy-trench-coat-p07484027.html,zara
142,https://www.zara.com/us/en/animal-print-dress-p07754316.html,zara
143,https://www.zara.com/us/en/animal-print-skort-p08204286.html,zara
144,https://www.zara.com/us/en/faux-leather-crop-top-p08249722.html,zara
145,https://www.zara.com/us/en/animal-print-blouse-p07951315.html,zara
146,https://www.zara.com/us/en/field-jacket-p03046030.html,zara
147,https://www.zara.com/us/en/field-jacket-p03046030.html,zara
148,https://www.zara.com/us/en/satin-effect-printed-blouse-p08140296.html,zara
149,https://www.zara.com/us/en/satin-effect-printed-blouse-p08140296.html,zara
150,https://www.zara.com/us/en/satin-effect-printed-blouse-p08140299.html,zara
151,https://www.zara.com/us/en/satin-effect-printed-blouse-p08140299.html,zara
152,https://www.zara.com/us/en/satin-effect-animal-print-blouse-p08140288.html,zara
153,https://www.zara.com/us/en/striped-knit-sweater-p03433004.html,zara
154,https://www.zara.com/us/en/slip-dress-p08167501.html,zara
155,https://www.zara.com/us/en/cropped-ruffled-top-p08250519.html,zara
156,https://www.zara.com/us/en/hooded-pouch-pocket-jacket-p05039341.html,zara
157,https://www.zara.com/us/en/side-stripe-jogging-pants-p05039241.html,zara
158,https://www.zara.com/us/en/metallic-trim-leather-heeled-sandals-p11311610.html,zara
159,https://www.zara.com/us/en/cropped-polka-dot-blouse-p08351151.html,zara
160,https://www.zara.com/us/en/satin-effect-bow-jumpsuit-p00387151.html,zara
161,https://www.zara.com/us/en/belted-baggy-shorts-p08001743.html,zara
162,https://www.zara.com/us/en/poplin-mini-dress-p08514154.html,zara
163,https://www.zara.com/us/en/z1975-high-rise-vintage-slim-jeans-p06164161.html,zara
164,https://www.zara.com/us/en/pack-of-ear-cuff-earrings-p04319204.html,zara
165,https://www.zara.com/us/en/cropped-plaid-top-p07484154.html,zara
166,https://www.zara.com/us/en/z1975-high-rise-vintage-slim-jeans-p06164161.html,zara
167,https://www.zara.com/us/en/long-print-jumpsuit-p08160275.html,zara
168,https://www.zara.com/us/en/ruffled-dress-trf-p00264805.html,zara
169,https://www.zara.com/us/en/contrasting-ruffled-top-trf-p00962803.html,zara
170,https://www.zara.com/us/en/popeye%C2%AE-printed-t-shirt-trf-p04644430.html,zara
171,https://www.zara.com/us/en/mafalda---quino-t-shirt-p05039634.html,zara
